,name,department,rating,total_ratings,would take again,difficulty
0,Paul Hudson,Geography,3.8,9 ratings,N/A,4.1
1,James Enelow,Political Science,2.9,57 ratings,67%,3.1
2,William Doolittle,Geography,4.8,17 ratings,100%,3.4
3,Bruce Palka,Mathematics,3.7,6 ratings,N/A,3.5
4,John Murphy,Communication,3.8,29 ratings,N/A,4.3
5,Marc Lewis,Psychology,4.2,34 ratings,100%,2.6
6,Josh Dever,Philosophy,4.1,13 ratings,100%,3.9
7,David Sosa,Philosophy,4.4,4 ratings,N/A,2.5
8,David Edwards,Political Science,3.1,27 ratings,N/A,4
9,Manuel Ramirez,Psychology,2.4,37 ratings,55%,4.1
10,Corinne Irwin,Mathematics,4.8,25 ratings,N/A,1.8
11,Gary Berg,Mathematics,2.1,40 ratings,100%,3.4
12,Sharon Jasper,Biology,3.2,9 ratings,N/A,3
13,Alan Bovik,Engineering,4.5,7 ratings,80%,3.6
14,Bruce Buchanan,Political Science,4,13 ratings,0%,3.2
15,Susan Marshall,Social Science,2,18 ratings,100%,4.1
16,Gene Kincaid,Communication,3.8,7 ratings,N/A,3.7
17,Lino Graglia,Law,2.9,9 ratings,N/A,3.3
18,Joydeep Ghosh,Engineering,0,0 ratings,100%,0
19,Michael Garrison,Architecture,3.6,6 ratings,100%,4.2
20,Robert Jensen,Journalism,3.9,99 ratings,68%,1.9
21,Herbert Hochberg,Philosophy,2.1,8 ratings,N/A,3.3
22,Ellen Rathje,Engineering,2.9,6 ratings,60%,4
23,David Fonken,Mathematics,4.8,9 ratings,N/A,3.4
24,Joseph Kruppa,English,4.4,9 ratings,N/A,2
25,Beverly Finklea,Biology,3.8,33 ratings,N/A,4.5
26,Edward Robinson,Science,2.7,74 ratings,56%,3.5
27,Mark Gergen,Law,2.5,7 ratings,N/A,3.7
28,Duana Dinitto,Social Science,0,0 ratings,N/A,0
29,Jarvis Ulbricht,Fine Arts,3.2,5 ratings,100%,2.6
30,Joan Holladay,Fine Arts,4.1,15 ratings,67%,3.5
31,Juan Salinas,Psychology,3,42 ratings,0%,2.7
32,David Hillis,Biology,4.8,4 ratings,100%,4
33,Dena Granof,Communication,4.6,6 ratings,N/A,1.7
34,Kurt Weyland,Social Science,3.9,39 ratings,66%,3.8
35,Mia Carter,English,4.8,10 ratings,86%,4
36,Larry Sager,Law,3,12 ratings,100%,3.9
37,Jim Glavan,Theater,4.3,9 ratings,100%,3.3
38,Muir McPherson,Business,0,0 ratings,N/A,0
39,Mathew Hayward,Business,0,0 ratings,N/A,0
40,Edward Odell,Mathematics,3.5,8 ratings,N/A,4
41,Burton Pierson,Biology,3.5,26 ratings,N/A,4.6
42,Richard Jones,Chemistry,4.3,32 ratings,89%,2.7
43,Robyn Honig,Psychology,0,0 ratings,N/A,0
44,John Gilbert,Mathematics,3.9,24 ratings,63%,3.1
45,John Batterton,Biology,3.1,93 ratings,48%,3.8
